Q,A,label
진짜 잘자라는 우리 애기,우와 되게 잘 크네요 저희집 애는 너무 가녀린데,3
얼렁 활짝 폈으면 좋겠어요,잎이 완전 크네요 대박,3
새순이 잘 나고 있어요,완전 새순파티네요 굿굿,3
빛나는 잎파리들이 너무 예뻐서 기분도 좋아지는 것 같아요,식물들 햇볕샤워 시간이 제일 예뻐보이는 시간이죠  초록이들 빛반사되어서 예뻐요,3
세잎이 나오고 있어요,크 완전 기운차게 나네요,3
예쁜 화분으로 옮겨주었어요 웃지랄수록 이뻐지겠죠,어쩜  센스 넘치시네요 너무 이뻐요,3
재미져요 식물놀이,너무 예뻐요,3
폭풍성장햐주고 있어서 너무 고마운 친구에요,알맞은 환경에 적응했나 봅니다 예뻐요,3
꽃대가 하나 올라왔어요 너무 귀여워요,너무 기특하고 예쁘네요,3
드디어 튤립 한송이가 피었어요,너무 아름다워요 봄의여왕 같이 도도하고 우아합니다,3
꽃이 피고 있어요,봄이 왓네요 예쁘게 피어라,3
까만 잎이 점점 커지는 중이에요,우와~~ 넘 멋진데요..,3
점점 멋진 무늬 잎이 나오고있어요,빨리 빨리 자라서 대품 되거랏!!!얍,3
꽃봉오리가 펼쳐지고있어요,멋진 꽃이네요,3
무늬 진짜 잘나왔습니다,발색이 잘 되었네요.,3
매일 돌봐줄때보다 더 잘자란 너낌이에용,넘 예쁘네요? 침 닦고 갑니당ㅎㅎ,3
봄이니까 꽃이 마구 땡겨서 사고있어요,꽃 넘 예쁘네요 역시 봄은 꽃이쥬,3
모퉁이 장식장위에서 식물등 혼자 받으면서 조용히 은은하게 폼새를 뽐내고 있네요,넘 고혹적이에요~,3
요즘 쑥쑥자라서 이뻐보여요 ,역시 멋진아이네요,3
물꽃이로 키우고있는데 봄이니 예뻐보여요,미모 인정입니다,3
잘 자라줬으면 좋겠네요,사랑스러운 녀석들건강하게 잘 자라라,3
