"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",5.8,11.8,20.8,0.3,-3.5,11.0,43.0,8.0,1019.4,-6.9,-,254.6,-,3.7,11.4,18.6
"2011","4월",12.0,17.9,28.0,6.1,-1.2,68.5,56.0,9.0,1013.7,1.6,-,203.9,-,3.4,11.8,17.7
"2011","5월",16.5,21.7,30.8,11.8,6.5,147.4,68.0,14.0,1011.6,9.2,-,154.8,-,2.9,9.9,18.4
"2011","6월",22.0,27.4,34.8,17.3,12.2,193.4,70.0,24.0,1007.3,15.6,-,198.3,-,2.6,7.6,17.0
"2011","7월",24.6,28.5,33.9,21.3,16.9,117.9,81.0,41.0,1006.7,20.8,-,145.1,-,2.6,12.0,18.5
"2011","8월",25.0,29.0,34.1,21.9,17.4,110.9,84.0,41.0,1009.6,21.8,-,135.2,-,2.1,7.9,13.0
"2011","9월",21.0,25.8,32.8,17.1,10.8,76.4,78.0,28.0,1012.9,16.5,-,149.7,-,3.5,14.7,21.4
"2012","3월",6.7,11.1,21.4,2.4,-3.5,79.1,58.6,12.0,1018.8,-2.0,-,165.9,-,3.7,12.6,20.9
"2012","4월",13.6,19.8,30.9,8.0,-0.1,131.0,56.8,14.0,1013.1,3.9,-,229.4,-,3.6,10.8,20.7
"2012","5월",17.7,23.6,30.8,12.6,8.6,26.8,66.9,13.0,1011.7,10.6,-,228.9,-,2.7,11.0,16.8
"2012","6월",20.8,25.5,31.0,17.3,12.9,73.1,78.4,33.0,1008.8,16.6,-,141.0,-,2.8,8.9,12.6
"2012","7월",25.5,30.3,36.3,22.0,17.5,160.2,80.0,38.0,1006.4,21.3,-,186.4,-,2.3,8.8,13.1
"2012","8월",25.6,29.9,34.2,22.6,18.3,270.9,84.3,52.0,1010.0,22.4,-,141.0,-,2.7,10.8,19.2
"2012","9월",19.8,25.1,29.1,15.6,11.3,228.6,78.0,35.0,1013.9,15.3,-,182.6,-,2.6,16.4,26.1
"2013","3월",8.4,15.4,27.0,1.8,-3.3,48.0,50.0,9.0,1016.1,-3.0,-,215.2,-,3.5,11.7,21.0
"2013","4월",11.1,17.2,31.3,5.3,0.3,65.0,53.0,8.0,1012.5,0.2,-,220.1,-,3.7,12.6,21.2
"2013","5월",17.8,23.6,32.1,12.3,3.7,98.5,63.0,13.0,1011.9,9.1,-,225.0,-,3.0,9.9,17.3
"2013","6월",20.8,25.5,32.4,17.5,12.4,115.4,80.0,30.0,1009.1,16.9,-,168.6,-,2.2,9.5,15.2
"2013","7월",27.2,32.2,36.0,23.3,19.2,85.5,74.0,35.0,1005.5,21.6,-,147.8,-,2.2,6.8,12.3
"2013","8월",27.7,33.4,37.6,23.0,18.5,42.0,68.0,23.0,1006.7,20.3,-,239.9,-,2.4,12.0,20.2
"2013","9월",20.6,26.4,33.8,16.2,11.1,98.0,75.0,17.0,1015.5,15.5,-,163.1,-,2.4,11.2,16.6
"2014","3월",7.4,13.0,26.0,1.8,-4.5,82.9,56.0,9.0,1019.1,-2.4,-,178.4,-,3.2,13.6,19.8
"2014","4월",12.6,18.6,27.4,6.6,1.2,161.2,59.0,13.0,1017.0,3.5,-,199.9,-,3.3,11.4,19.4
"2014","5월",18.5,24.8,35.0,12.3,4.3,11.9,51.0,11.0,1010.3,6.6,-,277.2,-,3.0,10.7,17.2
"2014","6월",20.0,24.6,35.2,16.5,13.0,106.5,78.0,23.0,1007.3,15.5,-,137.3,-,2.9,9.5,15.9
"2014","7월",24.8,29.6,35.3,20.8,14.8,60.3,72.0,23.0,1007.4,18.7,-,197.0,-,2.3,8.5,14.5
"2014","8월",22.5,26.7,33.4,19.6,14.9,362.8,86.0,39.0,1009.0,19.7,-,91.9,-,2.3,9.4,14.9
"2014","9월",19.8,25.4,30.7,15.5,10.6,116.7,80.0,28.0,1014.0,15.8,-,180.0,-,2.3,10.6,16.0
"2015","3월",7.6,13.8,24.9,1.8,-6.2,36.5,46.0,4.0,1020.0,-5.6,-,265.9,-,3.4,9.5,17.1
"2015","4월",12.5,18.2,29.8,7.3,0.7,85.5,65.0,8.0,1016.5,4.2,-,171.0,-,3.4,11.3,18.5
"2015","5월",19.1,25.7,33.3,12.6,6.9,12.1,51.0,9.0,1009.1,6.7,-,293.5,-,2.7,9.8,18.2
"2015","6월",20.1,26.5,32.0,15.2,9.9,103.6,71.0,13.0,1007.8,13.7,-,179.7,-,2.8,9.9,14.8
"2015","7월",23.3,27.8,35.6,19.6,13.3,98.0,74.0,32.0,1007.8,18.0,-,191.5,-,2.8,12.4,19.6
"2015","8월",25.3,31.1,38.2,21.0,17.3,111.1,75.0,21.0,1008.7,19.9,-,198.8,-,2.3,16.3,26.1
"2015","9월",19.3,24.6,29.8,15.3,12.0,82.0,79.0,25.0,1014.9,15.1,-,189.3,-,2.9,12.6,20.9
"2016","3월",7.4,13.4,20.6,1.9,-5.9,27.1,54.0,9.0,1021.0,-3.0,-,207.2,-,2.8,10.2,14.9
"2016","4월",13.0,18.9,27.5,7.2,1.0,158.5,61.0,11.0,1013.8,4.2,-,213.4,-,3.4,9.9,23.9
"2016","5월",18.5,25.4,32.3,11.9,5.5,27.1,57.0,11.0,1011.5,8.2,-,298.3,-,3.0,14.1,24.2
"2016","6월",21.7,27.4,31.7,17.3,9.1,56.3,72.0,23.0,1008.2,15.8,-,205.7,-,2.2,11.5,12.4
"2016","7월",24.5,29.4,35.8,20.8,17.4,173.2,81.0,38.0,1008.7,20.6,-,173.1,-,1.8,7.7,12.0
"2016","8월",25.7,31.6,38.6,21.6,15.5,69.6,76.0,25.0,1006.2,20.5,-,256.0,-,2.6,8.2,18.1
"2016","9월",20.8,25.0,32.2,17.7,13.6,322.6,85.0,30.0,1014.2,17.9,-,119.3,-,2.5,10.5,17.8
"2017","3월",7.3,13.4,19.0,1.9,-2.7,9.0,53.0,9.0,1018.7,-2.8,-,221.4,-,3.0,11.0,15.5
"2017","4월",14.8,21.0,31.4,9.2,1.5,57.0,53.0,8.0,1012.3,3.2,-,245.2,-,3.0,10.1,16.5
"2017","5월",19.4,26.1,33.1,12.9,5.1,15.9,53.0,10.0,1011.5,7.6,-,290.3,-,2.8,11.9,19.7
"2017","6월",20.8,27.2,34.7,15.3,9.3,34.8,68.0,14.0,1009.1,13.7,-,285.8,-,2.5,11.0,17.3
"2017","7월",26.4,31.3,38.1,22.7,17.3,172.4,75.0,21.0,1007.8,21.1,-,166.3,-,2.2,7.7,13.0
"2017","8월",24.4,29.4,35.0,20.9,14.9,322.1,84.0,28.0,1008.3,21.1,-,180.5,-,2.1,9.8,15.3
"2017","9월",20.5,26.2,31.0,15.7,11.5,103.8,74.0,23.0,1013.1,15.0,-,231.3,-,2.5,10.0,16.1
"2018","3월",9.1,14.3,25.2,3.6,-3.4,105.5,57.0,10.0,1019.9,-0.6,-,222.3,-,4.2,15.1,24.8
"2018","4월",13.9,20.5,32.5,7.9,0.1,149.6,54.0,8.0,1015.2,2.8,-,257.2,-,3.5,11.8,18.1
"2018","5월",17.2,22.9,31.3,12.4,6.6,71.4,72.0,13.0,1011.7,10.3,-,222.1,-,3.1,9.9,17.8
"2018","6월",22.0,28.2,37.0,16.9,10.4,29.3,69.0,21.0,1008.1,15.3,-,204.5,-,2.6,7.4,11.1
"2018","7월",26.1,31.4,38.0,22.1,16.1,211.6,78.0,36.0,1009.2,21.5,-,261.2,-,2.6,11.9,16.9
"2018","8월",25.9,30.8,39.9,22.2,16.8,196.2,80.0,35.0,1008.3,21.8,-,200.7,-,2.0,9.3,14.1
"2018","9월",20.1,24.7,29.5,16.2,10.5,140.5,79.0,30.0,1013.7,16.0,-,149.8,-,2.3,8.3,13.8
"2019","3월",8.7,14.8,23.7,3.1,-1.3,18.6,54.0,10.0,1016.0,-1.4,4.7,236.2,-,3.1,8.8,16.5
"2019","4월",11.9,18.2,25.8,6.3,0.5,103.5,59.0,9.0,1015.0,2.7,5.3,221.8,-,3.0,11.5,17.1
"2019","5월",19.4,26.3,33.8,12.7,4.6,24.9,54.0,13.0,1011.3,8.1,4.4,298.5,-,2.7,10.1,14.4
"2019","6월",20.4,26.0,34.3,15.9,11.0,242.2,76.0,23.0,1007.4,15.4,5.8,219.0,-,2.2,10.2,15.7
"2019","7월",24.9,29.5,35.6,21.5,16.9,130.7,80.0,38.0,1006.5,20.9,6.8,184.7,-,2.4,9.2,14.1
"2019","8월",26.0,31.0,35.8,22.4,18.9,152.6,79.0,33.0,1007.0,21.8,5.5,238.8,-,2.3,8.7,13.9
"2019","9월",22.0,26.7,31.6,17.9,11.6,175.0,82.0,30.0,1015.4,18.4,7.3,…,-,2.4,17.4,26.4
"2020","3월",8.4,14.4,23.2,2.7,-2.0,14.3,61.0,10.0,1016.7,0.3,4.0,227.1,-,3.0,13.9,24.4
"2020","4월",11.5,18.2,27.0,5.5,-,40.0,55.0,9.0,1016.0,1.3,3.9,258.2,-,3.6,11.7,21.2
"2020","5월",17.2,22.3,30.9,12.4,5.7,56.1,71.0,18.0,1010.3,10.8,5.7,242.7,-,2.5,11.4,17.8
"2020","6월",22.1,27.6,35.1,17.4,11.9,165.6,72.0,23.0,1006.2,16.2,5.5,248.6,-,2.3,10.5,18.3
"2020","7월",21.0,24.8,31.3,18.3,14.1,507.5,90.0,46.0,1007.8,19.0,7.5,97.5,-,2.0,8.5,14.4
"2020","8월",26.2,30.8,35.4,22.8,20.1,123.3,83.0,39.0,1009.0,22.8,6.8,182.2,-,1.8,7.9,12.1
"2020","9월",19.6,24.4,28.8,16.1,10.9,205.7,83.0,37.0,1011.9,16.3,5.8,159.9,-,2.9,14.8,31.0
